,Text Summarization,Docs
0,"La Décision n° D-HCSF-2019-1 du 23 janvier 2019 du Haut Conseil de stabilité financière relative au taux du coussin de fonds propres contra-cyclique a été publiée au Journal officiel de la République française le 26 janvier 2019. 
Les personnes concernées sont les établissements de crédit, les sociétés de financement et les entreprises d'investissement, à l’exception de celles :
- qui sont agréées exclusivement pour fournir les services d’investissement suivants : réception et la transmission d'ordres pour le compte de tiers, exécution d'ordres pour le compte de tiers, gestion de portefeuille pour le compte de tiers, conseil en investissement, et qui ne sont pas autorisées à détenir des fonds ou des titres de la clientèle ;
- qui ne sont pas agréées pour fournir un ou plusieurs des services d'investissement suivants : négociation pour compte propre, prise ferme, placement garanti.
Cette décision prévoit le maintien du taux de coussin contra-cyclique à 0,25% à compter du 1er juillet 2019.
",2019-01-26-HCSF - Décision du 23 janvier 2019 maintien du coussin de fonds propres contra-cyclique
1,"L’EBA a publié, le 17 janvier 2019, le rapport final sur les « Guidelines on specification of types of exposures to be associated with high risk under Article 128(3) of Regulation (EU) N° 575/2013 ».
L'approche standard pour déterminer les exigences de fonds propres minimales pour le risque de crédit attribue des pondérations de risque à appliquer au montant de l'exposition en fonction de la classe d'exposition d'une exposition considérée. Parmi ces classes d’exposition figurent les « expositions associées à un risque particulièrement élevé ».
Cette classe d’exposition à risque élevé représente l’application du pouvoir discrétionnaire accordé aux autorités de contrôle nationales au paragraphe 80 de la norme Bâle II actuelle, qui dispose que les autorités de surveillance nationales peuvent décider d’appliquer une pondération de risque de 150% (ou plus) afin de refléter les risques plus élevés associés à certains autres actifs, tels que les investissements en capital-risque et en capital-investissement.
Ces lignes directrices précisent les types d'expositions à associer à un risque particulièrement élevé, ainsi que les circonstances dans lesquelles cela devrait se produire. Du fait que ces expositions sont considérées comme un « élément à risque particulièrement élevé », elles reçoivent une pondération de 150%.
",2019-01-17-EBA - Final Report - Guidelines in specification of types of exposures to be associated with high risk under art. 128(3) of CRR (Réglement 575-2013)
2,"La Recommandation du Comité européen du risque systémique du 5 décembre 2018 modifiant la recommandation CERS/2015/2 sur l’évaluation des effets transfrontaliers et la réciprocité volontaire des mesures de politique macro-prudentielle (CERS/2018/8) a été publiée au Journal officiel de l’Union européenne le 1er février 2019.
Cette recommandation présente des mesures adoptées par certains pays membres et dont le CERS recommande l’application réciproque. En particulier, il est recommandé aux autorités françaises concernées d’appliquer par réciprocité « un durcissement de la limite aux grands risques prévue à l’article 395, paragraphe 1, du règlement (UE) n° 575/2013, qui s’applique aux expositions à l’égard des grandes entreprises non financières très endettées ayant leur siège social en France, fixée à 5 % des fonds propres éligibles, appliquée conformément à l’article 458, paragraphe 2, point d), ii), du règlement (UE) n° 575/2013 aux établissements d’importance systémique mondiale (EISm) et aux autres établissements d’importance systémique (autres EIS) au plus haut niveau de consolidation de leur périmètre de surveillance prudentielle bancaire ».
",2019-02-01-CERS - Recommandations sur évaluation effets transfrontaliers et réciprocité volontaire des mesures de politique macroprudentielle
3,"L’EBA a publié le 6 mars 2019 un Rapport final sur les Orientations portant sur les estimations des pertes en cas de ralentissement économique.
Ces orientations précisent comment quantifier les pertes en cas de défaut (LGD) appropriées en cas de ralentissement économique, qui ont été identifiées conformément au projet final de normes techniques réglementaires (RTS) sur le ralentissement économique. Elles complètent les orientations sur l'estimation de la probabilité de défaut de paiement, l'estimation des pertes en cas de défaut de paiement et le traitement des actifs en défaut (EBA/GL/2017/16) du 20/11/2017 et fournissent des orientations spécifiques sur la manière d'estimer les pertes en cas de récession économique
",2019-03-06- EBA - Final Report on Guidelines on LGD estimates under downturn conditions
4,"Le Règlement délégué (UE) 2019/348 de la Commission du 25 octobre 2018 complétant la directive 2014/59/UE du Parlement européen et du Conseil par des normes techniques de réglementation précisant les critères à appliquer pour évaluer l'impact de la défaillance d'un établissement sur les marchés financiers, sur d'autres établissements et sur les conditions de financement, a été publié au Journal officiel de l’Union européenne le 4 mars 2019. Il entre en vigueur le 24 mars 2019.
Il précise les modalités selon  lesquelles les autorités compétentes et les autorités de résolution évaluent l'impact de la défaillance d'un établissement de crédit ou d’une entreprise d’investissement sur les marchés, sur d'autres établissements et sur les conditions de financement sur la base d'une note quantitative totale. Il définit également les modalités d’évaluation qualitative des établissements de crédit et des entreprises d’investissement.
Des précisions sont également apportées en ce qui concerne l’évaluation de cas particuliers que sont les établissements appartenant à des groupes, les banques de développement, les établissements de crédit soumis à une procédure de liquidation ordonnée.
","2019-03-04-UE - Règlement délégué 2019-348 précisant les critères à appliquer pour évaluer l'impact de la défaillance d'un établissement sur les marchés financiers, sur d'autres établissements et conditions de financement"
5,"L’Arrêté du 18 février 2019 modifiant l’arrêté du 27 octobre 2015 relatif à la mise en œuvre de la garantie des dépôts, au plafond d’indemnisation et aux modalités d’application de l’article L. 312-4-1 du code monétaire et financier et précisant les modalités d’application du 13° de l’article L. 312-16 du code monétaire et financier afin de tenir compte des modifications des contrats d’affacturage, a été publié au Journal officiel de la République française le 22 février 2019.
Cet arrêté précise la rédaction du 8° de l’article 2 de l’arrêté du 27 octobre 2015 relatif à la mise en œuvre de la garantie des dépôts, au plafond d’indemnisation et aux modalités d’application de l’article L. 312-4-1 du code monétaire et financier. Les mentions relatives à l’escompte ou à toute opération équivalente sur une créance ou un titre présentés par le client à un établissement adhérent sont apparues sans objet car déjà couvertes par le 7° de l’article 2 précité et ne nécessitant pas de traitement particulier. Il explicite également, au regard des spécificités des contrats d’affacturage, les sommes éligibles à la garantie des dépôts pour ces contrats (solde net global des opérations d’affacturage). 
Compte tenu des précisions ainsi apportées il est apparu en outre nécessaire de préciser les dates d’application pour les professionnels des obligations d’information aux déposants ayant contracté un contrat d’affacturage ainsi modifiées : 
- Pour les contrats d’affacturage conclus après la date d’entrée en vigueur du présent arrêté, les obligations de l’article 3 de l’arrêté du 27 octobre 2015 relatif à l’information des déposants sur la garantie des dépôts s’appliquent à compter du 1er septembre 2019.
- Les obligations prévues à l’article 4 dudit arrêté s’appliquent pour les contrats d’affacturage à compter du 1er décembre 2019.
",2019-02-22-Arrêté du 18 février 2019 garantie des dépôts plafond indemnisation modification contrats affacturage
6,"L’Arrêté du 25 mars 2019 pris pour l’application du 16° de l’article L. 312-16 du code monétaire et financier et relatif aux emprunts à plus de 12 mois du fonds de garantie des dépôts et de résolution, modifiant l’arrêté du 27 octobre 2015 relatif aux ressources financières du fonds de garantie des dépôts et de résolution, a été publié au Journal officiel de la République française le 29 mars 2019.
Cet arrêté précise les conditions et limites ans lesquelles le fonds de garantie des dépôts et de résolution peut contracter auprès d’un établissement de crédit ou d’une société de financement un emprunt dont le terme est supérieur à douze mois ou émettre un titre de créance dont le terme excède cette durée. Il prévoyant que le fonds ne peut emprunter à plus de douze mois qu’en cas d’intervention et dans la mesure où il n’est pas en mesure de financer le coût de l’intervention avec ses ressources propres effectivement mobilisables, y compris la levée de contributions exceptionnelles dûment autorisée. Il est en outre prévu un plafond pour le recours aux certificats d’association émis par le fonds, qui ont la nature de dette subordonnées perpétuelles. Les dépôts de garantie collectés par le FGDR en garantie des engagements de paiement souscrits par les adhérents, ne constituent ni des emprunts, ni des titres de créance. Leur durée n’est donc pas contrainte par le classement du FGDR en administration publique centrale et n’est pas mentionnée dans cet arrêté.
Par ailleurs, le présent arrêté permet de compléter de transposition de l’article 12 (2) de la directive 2014/49/UE (dite DGSD2) s’agissant des taux des emprunts entre systèmes de garantie des dépôts.
",2019-03-29-Arrêté du 25 mars 2019 garantie des dépôts et de résolution modifiant l'arrêté du 27 octobre 2015
7,"Le Règlement (UE) 2019/113 de la Banque centrale européenne du 7 décembre 2018 modifiant le règlement (UE) n° 1333/2014 concernant les statistiques des marchés monétaires (BCE/2018/33), a été publié au Journal officiel de l’Union européenne le 25 janvier 2019.
Afin de garantir la disponibilité de statistiques de grande qualité relatives au marché monétaire de l'euro, il est nécessaire de modifier certaines dispositions du règlement (UE) n° 1333/2014 (BCE/2014/48). Il importe, en particulier, de s'assurer que chaque agent déclarant transmet à la Banque centrale européenne (BCE) ou à la banque centrale nationale (BCN) concernée toutes les opérations qu'il a conclues avec des sociétés financières (à l'exception des banques centrales lorsque l'opération n'est pas conclue à des fins d'investissement), des administrations publiques et certaines sociétés non financières. De plus, il est nécessaire de s'assurer que la collecte des données bénéficie de l'élargissement de l'usage obligatoire de l'identifiant d'entité juridique (Legal Entity Identifier —LEI) pour les déclarations effectuées au sein de l'Union. La collecte, la compilation et la transmission doivent se faire de manière à protéger l'intégrité de ces informations statistiques.
",2019-01-25-UE- Règlement 2019-113 de la BCE du 7 décembre 2018 statistiques des marchés monétaires
8,"L’EBA a publié le 25 février 2019 son Rapport final sur le Projet d’Orientations sur le dispositif d’externalisation (Guidelines on outsourcing arrangements).
La confiance dans la fiabilité du système financier est essentielle à son bon fonctionnement et constitue une condition préalable à la contribution de celui-ci à l’économie dans son ensemble. Des mécanismes efficaces de gouvernance interne sont fondamentaux pour le bon fonctionnement des institutions et du système financier qu’elles forment.
Au cours des dernières années, les institutions financières se sont de plus en plus intéressées à externaliser des activités, afin de réduire les coûts et d'améliorer leur flexibilité et leur efficacité. Dans le contexte de la numérisation et de l’importance croissante des nouveaux fournisseurs de technologies financières (fintech), les institutions financières adaptent leurs modèles économiques à ces technologies. L'externalisation est un moyen d'obtenir un accès relativement facile aux nouvelles technologies et de réaliser des économies d'échelle.
La directive 2013/36 /UE (CRD4) renforce les exigences en matière de gouvernance des institutions, dont la sous-traitance constitue l’un des aspects spécifiques. La directive 2014/65/UE (MiFID II) contient des dispositions explicites concernant la sous-traitance de fonctions dans le domaine des services et activités d'investissement. La directive 2015/2366/UE (DSP2) définit les exigences relatives à l'externalisation de fonctions par des établissements de paiement.
Ces nouvelles orientations visent à instaurer un cadre plus harmonisé pour toutes les institutions financières relevant du mandat de l’EBA, à savoir les établissements de crédit et les entreprises d’investissement soumises au CRD, ainsi que les établissements de paiement et de monnaie électronique. Elles énoncent des dispositions spécifiques pour les cadres de gouvernance de ces institutions financières en ce qui concerne leurs accords de sous-traitance et les attentes et processus de surveillance correspondants. La recommandation sur la sous-traitance aux fournisseurs de services dans le cloud, publiée en décembre 2017, a été intégrée à ces orientations.
L’organe de direction de chaque institution financière reste responsable de cette institution et de toutes ses activités, à tout moment ; à cette fin, l'organe de direction devrait veiller à ce que des ressources suffisantes soient disponibles pour soutenir et assurer l'exercice de ces responsabilités, y compris en surveillant tous les risques et en gérant le dispositif d’externalisation. La sous-traitance ne doit pas conduire à une situation dans laquelle une institution devient une « coquille vide » sans substance pour rester autorisée.
Les orientations prévoient la tenue d’un registre centralisé de tous les accords de sous-traitance, y compris ceux conclus avec une entité du même groupe.
S'agissant de la sous-traitance auprès de prestataires de services situés dans des pays tiers, les établissements financiers doivent veiller particulièrement à ce que la législation et les exigences réglementaires de l'UE (secret professionnel, accès aux informations et aux données, protection des données à caractère personnel) soient respectées et que les autorités compétentes sont en mesure de superviser efficacement les institutions financières, en particulier en ce qui concerne les fonctions critiques ou importantes confiées à des prestataires de services.
Les orientations définissent les accords avec des tiers qui doivent être considérés comme une externalisation et fournissent des critères permettant d’identifier les fonctions critiques ou importantes ayant une incidence importante sur le profil de risque de l’institution financière ou sur son cadre de contrôle interne. Si de telles fonctions critiques ou importantes sont externalisées, des exigences plus strictes s'appliquent à ces accords d’externalisation qu'à d'autres dispositifs de sous-traitance. 
Les autorités compétentes sont tenues de superviser efficacement les dispositifs de sous-traitance des institutions financières, notamment en identifiant et en surveillant les concentrations de risques chez les prestataires de services pris individuellement et en évaluant si ces concentrations pourraient constituer un risque pour la stabilité du système financier. Pour identifier ces concentrations de risque, les autorités compétentes devraient pouvoir s'appuyer sur une documentation complète concernant les accords de sous-traitance établis par les institutions financières.
",2019-02-25-EBA - Final report on draft guidelines on outsourcing arrangements GL-2019-02
9,"Le Règlement (UE) 2019/402 de la Commission du 13 mars 2019 modifiant le règlement (CE) n° 1126/2008 portant adoption de certaines normes comptables internationales conformément au règlement (CE) n° 1606/2002 du Parlement européen et du Conseil, en ce qui concerne la norme comptable internationale IAS 19, a été publié au Journal officiel de la République française le 14 mars 2019.
Le 7 février 2018, l'International Accounting Standards Board (IASB) a publié Modification, réduction ou liquidation d'un régime (modifications d'IAS 19) dans le cadre de son processus périodique d'amélioration, qui vise à simplifier et à clarifier les normes. L'objectif des modifications est de préciser que, en cas de modification, de réduction ou de liquidation d'un régime à prestations définies, l'entité doit appliquer les hypothèses actualisées utilisées pour les réévaluations de son passif (actif) net au titre des prestations définies pendant le reste de l'exercice. Le présent Règlement incorpore ces modifications dans la réglementation européenne.
",
